country_code,country_name,date,year,frequency,indicator_group,indicator_slug,indicator_code,indicator_name,value,unit,source,index_base_100,pct_change_from_previous,absolute_change_from_previous,series_mean,series_std,z_score
ARG,Argentina,2016-01-11,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-12,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-13,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-14,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-15,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-16,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-17,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-18,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-19,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-20,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-21,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-22,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-23,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-24,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-25,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-26,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-27,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-28,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-29,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-30,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-01-31,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-01,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-02,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-03,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-04,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-05,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-06,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-07,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-08,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-09,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-10,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-11,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,14.0,ARS per USD,Bluelytics,100.0,0.0,0.0,367.5606973058637,495.5324540686815,-0.7134965518461475
ARG,Argentina,2016-02-12,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,7.142857142857142,1.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-13,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-14,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-15,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-16,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-17,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-18,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-19,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-20,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-21,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-22,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-23,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-02-24,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,6.666666666666667,1.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-02-25,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-02-26,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-02-27,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-02-28,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-02-29,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-01,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-02,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-03,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-04,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-05,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-06,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-07,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-08,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-09,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-10,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-11,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-12,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-13,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-14,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-15,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-16,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,-6.25,-1.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-17,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-18,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,6.666666666666667,1.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-19,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-20,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,16.0,ARS per USD,Bluelytics,114.28571428571428,0.0,0.0,367.5606973058637,495.5324540686815,-0.7094604892561425
ARG,Argentina,2016-03-21,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,-6.25,-1.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-22,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-23,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-24,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-25,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-26,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-27,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-28,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-29,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-30,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-03-31,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-01,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-02,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-03,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-04,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-05,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-06,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-07,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-08,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-09,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-10,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-11,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-12,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-13,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-14,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-15,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-16,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-17,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-18,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-19,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-20,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-21,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-22,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-23,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-24,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-25,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
ARG,Argentina,2016-04-26,2016,daily,exchange_rate,dolar_blue,bluelytics_blue_sell,Dolar blue Argentina,15.0,ARS per USD,Bluelytics,107.14285714285714,0.0,0.0,367.5606973058637,495.5324540686815,-0.7114785205511449
